TAG	1121259.3	1214564.3	1387555.3	1387557.3	1387569.3	31899.1	351627.8	608506.3	632292.3	632335.8	632348.3	632516.3	632518.3
TAG0102	fig|1121259.3.peg.1561	fig|1214564.3.peg.1307	fig|1387555.3.peg.378	fig|1387557.3.peg.248	fig|1387569.3.peg.273	fig|31899.10.peg.362|SAMN05216182_0236	fig|351627.8.peg.2998|Csac_2770	fig|608506.3.peg.2522|COB47_2323	fig|632292.3.peg.2749|Calhy_2615	fig|632335.8.peg.2909|Calkr_2625	fig|632348.3.peg.2741|Calkro_2577	fig|632516.3.peg.376|CallaDRAFT_0376	fig|632518.3.peg.2422|Calow_2258
TAG0103	fig|1121259.3.peg.1569	-	-	-	-	-	-	-	-	-	-	-	-
TAG0104	fig|1121259.3.peg.1582	-	-	-	-	-	-	-	-	-	-	-	-
TAG0105	fig|1121259.3.peg.1585	-	-	-	-	-	-	-	-	-	-	-	-
TAG0106	fig|1121259.3.peg.1590	-	-	-	-	-	-	-	-	-	-	-	-
TAG0107	fig|1121259.3.peg.1591	-	-	fig|1387557.3.peg.722	-	-	-	-	-	-	-	-	-
TAG0108	fig|1121259.3.peg.1592	-	-	-	-	-	-	-	-	-	-	-	-
TAG0109	fig|1121259.3.peg.1593	-	-	-	-	-	-	-	-	-	-	-	-
TAG0110	fig|1121259.3.peg.1618	-	fig|1387555.3.peg.204	fig|1387557.3.peg.749	-	"fig|31899.10.peg.715|SAMN05216182_0558,fig|31899.10.peg.951|SAMN05216182_0781"	fig|351627.8.peg.216|Csac_0182	-	fig|632292.3.peg.2252|Calhy_2149	"fig|632335.8.peg.1942|Calkr_1801,fig|632335.8.peg.313|Calkr_0265"	"fig|632348.3.peg.2242|Calkro_2127,fig|632348.3.peg.2435|Calkro_2314"	"fig|632516.3.peg.1750|CallaDRAFT_1684,fig|632516.3.peg.1865|CallaDRAFT_1797"	fig|632518.3.peg.419|Calow_0376
TAG0111	fig|1121259.3.peg.1660	-	-	-	-	-	-	-	-	-	-	-	-
TAG0112	fig|1121259.3.peg.1662	-	-	-	-	-	-	-	fig|632292.3.peg.2203|Calhy_2104	-	-	-	-
TAG0113	fig|1121259.3.peg.1663	-	-	-	-	-	-	-	-	-	-	-	-
